t,N,F,d,C,a,dadN,G_max,Delta_sqrt(G),R,Cyclic_Energy,Monotonic_Energy,Total_Energy,dU_cyc/dN,dU_tot/dN
[s],[cycles],[N],[mm],[mm/N],[mm],[mm/cycle],[N/mm],[N/mm],[-],[mJ],[mJ],[mJ],[mJ],[mJ]
1.24E+04,5.44E+04,2.34E+02,2.60E+00,1.04E-02,8.23E+01,8.71E-05,4.18E-01,2.27E-01,2.39E-01,2.68E+02,1.62E+01,2.84E+02,0.000763328,0.000793214
1.24E+04,5.45E+04,5.53E+01,7.51E-01,1.03E-02,8.23E+01,8.69E-05,4.18E-01,2.28E-01,2.36E-01,2.67E+02,1.58E+01,2.83E+02,0.000761735,0.000791568
1.24E+04,5.45E+04,2.34E+02,2.60E+00,1.03E-02,8.23E+01,8.69E-05,4.18E-01,2.28E-01,2.36E-01,2.67E+02,1.58E+01,2.83E+02,0.000761735,0.000791568
1.25E+04,54599,5.65E+01,7.51E-01,1.04E-02,8.23E+01,8.68E-05,4.17E-01,2.26E-01,2.42E-01,2.68E+02,1.66E+01,2.84E+02,0.000760155,0.000789936
1.25E+04,5.46E+04,2.34E+02,2.60E+00,1.04E-02,8.23E+01,8.68E-05,4.17E-01,2.26E-01,2.42E-01,2.68E+02,1.66E+01,2.84E+02,0.000760147,0.000789927
1.25E+04,5.47E+04,5.58E+01,7.51E-01,1.04E-02,8.24E+01,8.66E-05,4.17E-01,2.27E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000758566,0.000788293
1.25E+04,5.47E+04,2.34E+02,2.60E+00,1.04E-02,8.24E+01,8.66E-05,4.17E-01,2.27E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000758566,0.000788293
1.25E+04,5.48E+04,5.58E+01,7.51E-01,1.04E-02,8.24E+01,8.65E-05,4.17E-01,2.27E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000756991,0.000786666
1.25E+04,5.48E+04,2.34E+02,2.60E+00,1.04E-02,8.24E+01,8.65E-05,4.17E-01,2.27E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000756991,0.000786666
1.25E+04,5.49E+04,5.57E+01,7.52E-01,1.03E-02,8.24E+01,8.63E-05,4.18E-01,2.28E-01,2.38E-01,2.68E+02,1.60E+01,2.84E+02,0.000755422,0.000785044
1.25E+04,54900,2.34E+02,2.60E+00,1.03E-02,8.24E+01,8.63E-05,4.18E-01,2.28E-01,2.38E-01,2.68E+02,1.60E+01,2.84E+02,0.000755414,0.000785036
1.25E+04,5.50E+04,5.51E+01,7.52E-01,1.03E-02,8.24E+01,8.62E-05,4.17E-01,2.27E-01,2.36E-01,2.66E+02,1.57E+01,2.82E+02,0.000753859,0.000783429
1.25E+04,5.50E+04,2.33E+02,2.60E+00,1.03E-02,8.24E+01,8.62E-05,4.17E-01,2.27E-01,2.36E-01,2.66E+02,1.57E+01,2.82E+02,0.000753859,0.000783429
1.26E+04,5.51E+04,5.57E+01,7.51E-01,1.04E-02,8.24E+01,8.60E-05,4.18E-01,2.27E-01,2.38E-01,2.67E+02,1.60E+01,2.83E+02,0.000752302,0.000781821
1.26E+04,55100,2.34E+02,2.60E+00,1.04E-02,8.24E+01,8.60E-05,4.18E-01,2.27E-01,2.38E-01,2.67E+02,1.60E+01,2.83E+02,0.000752294,0.000781813
1.26E+04,5.52E+04,5.54E+01,7.52E-01,1.03E-02,8.24E+01,8.59E-05,4.18E-01,2.28E-01,2.37E-01,2.67E+02,1.58E+01,2.83E+02,0.000750751,0.000780218
1.26E+04,55200,2.34E+02,2.60E+00,1.03E-02,8.24E+01,8.59E-05,4.18E-01,2.28E-01,2.37E-01,2.67E+02,1.58E+01,2.83E+02,0.000750744,0.00078021
1.26E+04,55299,5.59E+01,7.52E-01,1.04E-02,8.24E+01,8.57E-05,4.17E-01,2.26E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000749214,0.00077863
1.26E+04,55300,2.33E+02,2.60E+00,1.04E-02,8.24E+01,8.57E-05,4.17E-01,2.26E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000749199,0.000778614
1.26E+04,55399,2.34E+02,2.60E+00,1.04E-02,8.24E+01,8.56E-05,4.18E-01,2.26E-01,2.42E-01,2.68E+02,1.67E+01,2.85E+02,0.000747676,0.000777039
1.26E+04,55399,5.66E+01,7.51E-01,1.04E-02,8.24E+01,8.56E-05,4.18E-01,2.26E-01,2.42E-01,2.68E+02,1.67E+01,2.85E+02,0.000747676,0.000777039
1.27E+04,55499,5.58E+01,7.50E-01,1.04E-02,8.24E+01,8.55E-05,4.16E-01,2.26E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000746143,0.000775455
1.27E+04,55500,2.33E+02,2.60E+00,1.04E-02,8.24E+01,8.55E-05,4.16E-01,2.26E-01,2.39E-01,2.67E+02,1.62E+01,2.83E+02,0.000746127,0.000775439
1.27E+04,55599,5.57E+01,7.51E-01,1.04E-02,8.24E+01,8.53E-05,4.17E-01,2.27E-01,2.38E-01,2.67E+02,1.61E+01,2.83E+02,0.000744616,0.000773877
1.27E+04,55600,2.34E+02,2.60E+00,1.04E-02,8.24E+01,8.53E-05,4.17E-01,2.27E-01,2.38E-01,2.67E+02,1.61E+01,2.83E+02,0.0007446,0.000773861
1.27E+04,5.57E+04,5.51E+01,7.52E-01,1.04E-02,8.24E+01,8.52E-05,4.15E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000743087,0.000772297
1.27E+04,5.57E+04,2.33E+02,2.60E+00,1.04E-02,8.24E+01,8.52E-05,4.15E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000743087,0.000772297
1.27E+04,5.58E+04,5.52E+01,7.52E-01,1.04E-02,8.24E+01,8.50E-05,4.15E-01,2.26E-01,2.37E-01,2.66E+02,1.58E+01,2.81E+02,0.000741572,0.000770731
1.27E+04,5.58E+04,2.33E+02,2.60E+00,1.04E-02,8.24E+01,8.50E-05,4.15E-01,2.26E-01,2.37E-01,2.66E+02,1.58E+01,2.81E+02,0.000741572,0.000770731
1.27E+04,55899,2.34E+02,2.60E+00,1.03E-02,8.25E+01,8.49E-05,4.17E-01,2.27E-01,2.36E-01,2.67E+02,1.58E+01,2.82E+02,0.00074007,0.000769179
1.27E+04,5.59E+04,5.52E+01,7.52E-01,1.03E-02,8.25E+01,8.49E-05,4.17E-01,2.27E-01,2.36E-01,2.67E+02,1.58E+01,2.82E+02,0.000740062,0.000769171
1.28E+04,55999,5.59E+01,7.52E-01,1.05E-02,8.25E+01,8.47E-05,4.15E-01,2.25E-01,2.40E-01,2.66E+02,1.63E+01,2.82E+02,0.000738566,0.000767625
1.28E+04,5.60E+04,2.32E+02,2.60E+00,1.05E-02,8.25E+01,8.47E-05,4.15E-01,2.25E-01,2.40E-01,2.66E+02,1.63E+01,2.82E+02,0.000738558,0.000767617
1.28E+04,56099,5.59E+01,7.51E-01,1.04E-02,8.25E+01,8.46E-05,4.16E-01,2.26E-01,2.40E-01,2.67E+02,1.63E+01,2.83E+02,0.000737068,0.000766077
1.28E+04,56100,2.33E+02,2.60E+00,1.04E-02,8.25E+01,8.46E-05,4.16E-01,2.26E-01,2.40E-01,2.67E+02,1.63E+01,2.83E+02,0.000737053,0.000766061
1.28E+04,56199,5.64E+01,7.53E-01,1.05E-02,8.25E+01,8.44E-05,4.16E-01,2.24E-01,2.42E-01,2.67E+02,1.67E+01,2.84E+02,0.000735575,0.000764534
1.28E+04,5.62E+04,2.33E+02,2.60E+00,1.05E-02,8.25E+01,8.44E-05,4.16E-01,2.24E-01,2.42E-01,2.67E+02,1.67E+01,2.84E+02,0.000735568,0.000764527
1.29E+04,5.63E+04,5.52E+01,7.53E-01,1.04E-02,8.25E+01,8.43E-05,4.14E-01,2.25E-01,2.38E-01,2.65E+02,1.59E+01,2.81E+02,0.000734081,0.00076299
1.29E+04,5.63E+04,2.32E+02,2.60E+00,1.04E-02,8.25E+01,8.43E-05,4.14E-01,2.25E-01,2.38E-01,2.65E+02,1.59E+01,2.81E+02,0.000734081,0.00076299
1.29E+04,5.64E+04,5.51E+01,7.53E-01,1.04E-02,8.25E+01,8.42E-05,4.15E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.0007326,0.000761459
1.29E+04,5.64E+04,2.33E+02,2.60E+00,1.04E-02,8.25E+01,8.42E-05,4.15E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.0007326,0.000761459
1.29E+04,5.65E+04,5.52E+01,7.54E-01,1.04E-02,8.25E+01,8.40E-05,4.16E-01,2.26E-01,2.37E-01,2.66E+02,1.58E+01,2.82E+02,0.000731125,0.000759934
1.29E+04,56500,2.33E+02,2.60E+00,1.04E-02,8.25E+01,8.40E-05,4.16E-01,2.26E-01,2.37E-01,2.66E+02,1.58E+01,2.82E+02,0.000731118,0.000759927
1.29E+04,56599,5.64E+01,7.53E-01,1.05E-02,8.25E+01,8.39E-05,4.13E-01,2.23E-01,2.43E-01,2.66E+02,1.67E+01,2.83E+02,0.000729662,0.000758423
1.29E+04,5.66E+04,2.32E+02,2.60E+00,1.05E-02,8.25E+01,8.39E-05,4.13E-01,2.23E-01,2.43E-01,2.66E+02,1.67E+01,2.83E+02,0.000729655,0.000758415
1.29E+04,5.67E+04,5.50E+01,7.52E-01,1.04E-02,8.25E+01,8.37E-05,4.14E-01,2.25E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000728191,0.000756902
1.29E+04,5.67E+04,2.32E+02,2.60E+00,1.04E-02,8.25E+01,8.37E-05,4.14E-01,2.25E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000728191,0.000756902
1.30E+04,5.68E+04,5.52E+01,7.54E-01,1.04E-02,8.25E+01,8.36E-05,4.14E-01,2.25E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000726732,0.000755394
1.30E+04,5.68E+04,2.32E+02,2.60E+00,1.04E-02,8.25E+01,8.36E-05,4.14E-01,2.25E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000726732,0.000755394
1.30E+04,5.69E+04,5.56E+01,7.54E-01,1.04E-02,8.25E+01,8.34E-05,4.14E-01,2.25E-01,2.39E-01,2.66E+02,1.61E+01,2.82E+02,0.000725279,0.000753892
1.30E+04,5.69E+04,2.32E+02,2.60E+00,1.04E-02,8.25E+01,8.34E-05,4.14E-01,2.25E-01,2.39E-01,2.66E+02,1.61E+01,2.82E+02,0.000725279,0.000753892
1.30E+04,5.70E+04,5.57E+01,7.53E-01,1.05E-02,8.25E+01,8.33E-05,4.13E-01,2.24E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.000723831,0.000752395
1.30E+04,5.70E+04,2.32E+02,2.60E+00,1.05E-02,8.25E+01,8.33E-05,4.13E-01,2.24E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.000723831,0.000752395
1.30E+04,5.71E+04,5.50E+01,7.52E-01,1.04E-02,8.26E+01,8.32E-05,4.14E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000722388,0.000750905
1.30E+04,5.71E+04,2.32E+02,2.60E+00,1.04E-02,8.26E+01,8.32E-05,4.14E-01,2.26E-01,2.37E-01,2.65E+02,1.58E+01,2.81E+02,0.000722388,0.000750905
1.31E+04,5.72E+04,5.48E+01,7.51E-01,1.04E-02,8.26E+01,8.30E-05,4.14E-01,2.26E-01,2.36E-01,2.65E+02,1.56E+01,2.81E+02,0.000720951,0.000749419
1.31E+04,57200,2.33E+02,2.60E+00,1.04E-02,8.26E+01,8.30E-05,4.14E-01,2.26E-01,2.36E-01,2.65E+02,1.56E+01,2.81E+02,0.000720944,0.000749412
1.31E+04,5.73E+04,5.48E+01,7.49E-01,1.04E-02,8.26E+01,8.29E-05,4.13E-01,2.25E-01,2.37E-01,2.65E+02,1.57E+01,2.80E+02,0.00071952,0.000747939
1.31E+04,5.73E+04,2.32E+02,2.60E+00,1.04E-02,8.26E+01,8.29E-05,4.13E-01,2.25E-01,2.37E-01,2.65E+02,1.57E+01,2.80E+02,0.00071952,0.000747939
1.31E+04,57399,5.54E+01,7.50E-01,1.05E-02,8.26E+01,8.28E-05,4.12E-01,2.23E-01,2.40E-01,2.65E+02,1.62E+01,2.81E+02,0.000718101,0.000746472
1.31E+04,5.74E+04,2.31E+02,2.60E+00,1.05E-02,8.26E+01,8.28E-05,4.12E-01,2.23E-01,2.40E-01,2.65E+02,1.62E+01,2.81E+02,0.000718093,0.000746465
1.31E+04,57499,5.61E+01,7.51E-01,1.05E-02,8.26E+01,8.26E-05,4.13E-01,2.23E-01,2.42E-01,2.66E+02,1.66E+01,2.82E+02,0.000716679,0.000745003
1.31E+04,5.75E+04,2.32E+02,2.60E+00,1.05E-02,8.26E+01,8.26E-05,4.13E-01,2.23E-01,2.42E-01,2.66E+02,1.66E+01,2.82E+02,0.000716672,0.000744996
1.31E+04,5.76E+04,5.47E+01,7.52E-01,1.04E-02,8.26E+01,8.25E-05,4.13E-01,2.26E-01,2.36E-01,2.65E+02,1.56E+01,2.80E+02,0.000715257,0.000743533
1.31E+04,57600,2.32E+02,2.60E+00,1.04E-02,8.26E+01,8.25E-05,4.13E-01,2.26E-01,2.36E-01,2.65E+02,1.56E+01,2.80E+02,0.00071525,0.000743525
1.32E+04,57699,5.53E+01,7.49E-01,1.05E-02,8.26E+01,8.23E-05,4.13E-01,2.24E-01,2.39E-01,2.65E+02,1.61E+01,2.81E+02,0.000713853,0.000742082
1.32E+04,5.77E+04,2.32E+02,2.60E+00,1.05E-02,8.26E+01,8.23E-05,4.13E-01,2.24E-01,2.39E-01,2.65E+02,1.61E+01,2.81E+02,0.000713846,0.000742075
1.32E+04,57799,5.53E+01,7.50E-01,1.05E-02,8.26E+01,8.22E-05,4.12E-01,2.24E-01,2.39E-01,2.65E+02,1.60E+01,2.81E+02,0.000712448,0.000740629
1.32E+04,5.78E+04,2.31E+02,2.60E+00,1.05E-02,8.26E+01,8.22E-05,4.12E-01,2.24E-01,2.39E-01,2.65E+02,1.60E+01,2.81E+02,0.000712441,0.000740622
1.32E+04,57899,5.53E+01,7.51E-01,1.05E-02,8.26E+01,8.21E-05,4.13E-01,2.25E-01,2.39E-01,2.66E+02,1.60E+01,2.82E+02,0.000711048,0.000739182
1.32E+04,57900,2.32E+02,2.60E+00,1.05E-02,8.26E+01,8.21E-05,4.13E-01,2.25E-01,2.39E-01,2.66E+02,1.60E+01,2.82E+02,0.000711034,0.000739167
1.32E+04,57999,5.59E+01,7.51E-01,1.05E-02,8.26E+01,8.19E-05,4.12E-01,2.23E-01,2.42E-01,2.65E+02,1.65E+01,2.82E+02,0.000709653,0.00073774
1.32E+04,5.80E+04,2.31E+02,2.60E+00,1.05E-02,8.26E+01,8.19E-05,4.12E-01,2.23E-01,2.42E-01,2.65E+02,1.65E+01,2.82E+02,0.000709646,0.000737733
1.32E+04,58099,5.53E+01,7.51E-01,1.05E-02,8.26E+01,8.18E-05,4.13E-01,2.24E-01,2.39E-01,2.65E+02,1.60E+01,2.81E+02,0.000708263,0.000736303
1.32E+04,58100,2.32E+02,2.60E+00,1.05E-02,8.26E+01,8.18E-05,4.13E-01,2.24E-01,2.39E-01,2.65E+02,1.60E+01,2.81E+02,0.000708249,0.000736289
1.33E+04,58199,5.56E+01,7.52E-01,1.05E-02,8.26E+01,8.17E-05,4.12E-01,2.23E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.000706878,0.000734872
1.33E+04,58200,2.31E+02,2.60E+00,1.05E-02,8.26E+01,8.17E-05,4.12E-01,2.23E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.000706864,0.000734857
1.33E+04,5.83E+04,5.49E+01,7.51E-01,1.05E-02,8.27E+01,8.15E-05,4.10E-01,2.23E-01,2.38E-01,2.64E+02,1.58E+01,2.79E+02,0.000705492,0.000733438
1.33E+04,5.83E+04,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.15E-05,4.10E-01,2.23E-01,2.38E-01,2.64E+02,1.58E+01,2.79E+02,0.000705492,0.000733438
1.33E+04,58399,5.56E+01,7.51E-01,1.05E-02,8.27E+01,8.14E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.63E+01,2.81E+02,0.000704124,0.000732024
1.33E+04,5.84E+04,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.14E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.63E+01,2.81E+02,0.000704117,0.000732017
1.34E+04,58499,5.56E+01,7.52E-01,1.05E-02,8.27E+01,8.13E-05,4.11E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.80E+02,0.000702754,0.000730608
1.34E+04,5.85E+04,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.13E-05,4.11E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.80E+02,0.000702747,0.000730601
1.34E+04,58599,5.56E+01,7.51E-01,1.06E-02,8.27E+01,8.11E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.81E+02,0.00070139,0.000729198
1.34E+04,5.86E+04,2.31E+02,2.60E+00,1.06E-02,8.27E+01,8.11E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.81E+02,0.000701383,0.000729191
1.34E+04,58699,5.56E+01,7.51E-01,1.05E-02,8.27E+01,8.10E-05,4.11E-01,2.23E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.00070003,0.000727792
1.34E+04,58700,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.10E-05,4.11E-01,2.23E-01,2.40E-01,2.65E+02,1.63E+01,2.81E+02,0.000700016,0.000727778
1.34E+04,58799,5.56E+01,7.52E-01,1.05E-02,8.27E+01,8.09E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.63E+01,2.81E+02,0.000698675,0.000726392
1.34E+04,58800,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.09E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.63E+01,2.81E+02,0.000698662,0.000726378
1.34E+04,58899,5.63E+01,7.51E-01,1.06E-02,8.27E+01,8.07E-05,4.10E-01,2.21E-01,2.44E-01,2.65E+02,1.68E+01,2.82E+02,0.000697326,0.000724996
1.34E+04,5.89E+04,2.30E+02,2.60E+00,1.06E-02,8.27E+01,8.07E-05,4.10E-01,2.21E-01,2.44E-01,2.65E+02,1.68E+01,2.82E+02,0.000697319,0.000724989
1.35E+04,5.90E+04,5.49E+01,7.51E-01,1.05E-02,8.27E+01,8.06E-05,4.11E-01,2.24E-01,2.38E-01,2.64E+02,1.58E+01,2.80E+02,0.000695974,0.000723599
1.35E+04,59000,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.06E-05,4.11E-01,2.24E-01,2.38E-01,2.64E+02,1.58E+01,2.80E+02,0.000695967,0.000723592
1.35E+04,59099,5.55E+01,7.51E-01,1.06E-02,8.27E+01,8.05E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.80E+02,0.000694641,0.00072222
1.35E+04,5.91E+04,2.30E+02,2.60E+00,1.06E-02,8.27E+01,8.05E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.63E+01,2.80E+02,0.000694634,0.000722213
1.35E+04,5.92E+04,5.52E+01,7.52E-01,1.05E-02,8.27E+01,8.04E-05,4.10E-01,2.23E-01,2.39E-01,2.64E+02,1.60E+01,2.80E+02,0.000693299,0.000720833
1.35E+04,5.92E+04,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.04E-05,4.10E-01,2.23E-01,2.39E-01,2.64E+02,1.60E+01,2.80E+02,0.000693299,0.000720833
1.35E+04,59299,5.58E+01,7.51E-01,1.06E-02,8.27E+01,8.02E-05,4.10E-01,2.22E-01,2.42E-01,2.65E+02,1.65E+01,2.81E+02,0.000691975,0.000719465
1.35E+04,5.93E+04,2.31E+02,2.60E+00,1.06E-02,8.27E+01,8.02E-05,4.10E-01,2.22E-01,2.42E-01,2.65E+02,1.65E+01,2.81E+02,0.000691968,0.000719458
1.36E+04,59399,5.57E+01,7.52E-01,1.05E-02,8.27E+01,8.01E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.64E+01,2.81E+02,0.00069065,0.000718094
1.36E+04,59400,2.31E+02,2.60E+00,1.05E-02,8.27E+01,8.01E-05,4.11E-01,2.23E-01,2.41E-01,2.65E+02,1.64E+01,2.81E+02,0.000690636,0.00071808
1.36E+04,5.95E+04,5.46E+01,7.52E-01,1.05E-02,8.28E+01,8.00E-05,4.09E-01,2.23E-01,2.37E-01,2.63E+02,1.56E+01,2.79E+02,0.000689322,0.000716722
1.36E+04,5.95E+04,2.30E+02,2.60E+00,1.05E-02,8.28E+01,8.00E-05,4.09E-01,2.23E-01,2.37E-01,2.63E+02,1.56E+01,2.79E+02,0.000689322,0.000716722
1.36E+04,59599,5.58E+01,7.52E-01,1.06E-02,8.28E+01,7.98E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.65E+01,2.80E+02,0.000688013,0.000715368
1.36E+04,5.96E+04,2.30E+02,2.60E+00,1.06E-02,8.28E+01,7.98E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.65E+01,2.80E+02,0.000688006,0.000715361
1.36E+04,5.97E+04,5.45E+01,7.52E-01,1.05E-02,8.28E+01,7.97E-05,4.08E-01,2.22E-01,2.37E-01,2.62E+02,1.56E+01,2.78E+02,0.000686695,0.000714005
1.36E+04,5.97E+04,2.30E+02,2.60E+00,1.05E-02,8.28E+01,7.97E-05,4.08E-01,2.22E-01,2.37E-01,2.62E+02,1.56E+01,2.78E+02,0.000686695,0.000714005
1.36E+04,59799,5.57E+01,7.52E-01,1.05E-02,8.28E+01,7.96E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.64E+01,2.81E+02,0.000685395,0.000712661
1.36E+04,59800,2.31E+02,2.60E+00,1.05E-02,8.28E+01,7.96E-05,4.10E-01,2.22E-01,2.41E-01,2.64E+02,1.64E+01,2.81E+02,0.000685382,0.000712648
1.37E+04,5.99E+04,5.45E+01,7.51E-01,1.05E-02,8.28E+01,7.95E-05,4.10E-01,2.24E-01,2.36E-01,2.64E+02,1.56E+01,2.79E+02,0.000684086,0.000711308
1.37E+04,59900,2.31E+02,2.60E+00,1.05E-02,8.28E+01,7.95E-05,4.10E-01,2.24E-01,2.36E-01,2.64E+02,1.56E+01,2.79E+02,0.00068408,0.000711301
1.37E+04,59999,5.58E+01,7.51E-01,1.05E-02,8.28E+01,7.93E-05,4.10E-01,2.22E-01,2.42E-01,2.65E+02,1.64E+01,2.81E+02,0.000682795,0.000709973
1.37E+04,60000,2.31E+02,2.60E+00,1.05E-02,8.28E+01,7.93E-05,4.10E-01,2.22E-01,2.42E-01,2.65E+02,1.64E+01,2.81E+02,0.000682782,0.00070996
1.37E+04,6.01E+04,5.51E+01,7.51E-01,1.05E-02,8.28E+01,7.92E-05,4.10E-01,2.23E-01,2.39E-01,2.64E+02,1.59E+01,2.80E+02,0.000681496,0.00070863
1.37E+04,60100,2.31E+02,2.60E+00,1.05E-02,8.28E+01,7.92E-05,4.10E-01,2.23E-01,2.39E-01,2.64E+02,1.59E+01,2.80E+02,0.00068149,0.000708623
1.37E+04,60199,5.65E+01,7.53E-01,1.06E-02,8.28E+01,7.91E-05,4.09E-01,2.20E-01,2.45E-01,2.65E+02,1.69E+01,2.82E+02,0.000680214,0.000707305
1.37E+04,60200,2.30E+02,2.60E+00,1.06E-02,8.28E+01,7.91E-05,4.09E-01,2.20E-01,2.45E-01,2.65E+02,1.69E+01,2.82E+02,0.000680201,0.000707292
1.38E+04,60299,5.58E+01,7.53E-01,1.06E-02,8.28E+01,7.90E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.64E+01,2.80E+02,0.000678931,0.000705978
1.38E+04,60300,2.30E+02,2.60E+00,1.06E-02,8.28E+01,7.90E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.64E+01,2.80E+02,0.000678918,0.000705964
1.38E+04,60399,5.57E+01,7.53E-01,1.06E-02,8.28E+01,7.88E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.64E+01,2.80E+02,0.000677652,0.000704655
1.38E+04,60400,2.30E+02,2.60E+00,1.06E-02,8.28E+01,7.88E-05,4.09E-01,2.21E-01,2.42E-01,2.64E+02,1.64E+01,2.80E+02,0.000677639,0.000704642
1.38E+04,60499,5.56E+01,7.53E-01,1.06E-02,8.28E+01,7.87E-05,4.08E-01,2.20E-01,2.42E-01,2.63E+02,1.64E+01,2.79E+02,0.000676377,0.000703337
1.38E+04,6.05E+04,2.30E+02,2.60E+00,1.06E-02,8.28E+01,7.87E-05,4.08E-01,2.20E-01,2.42E-01,2.63E+02,1.64E+01,2.79E+02,0.000676371,0.000703331
1.38E+04,60599,5.57E+01,7.52E-01,1.06E-02,8.28E+01,7.86E-05,4.08E-01,2.20E-01,2.43E-01,2.63E+02,1.65E+01,2.80E+02,0.000675107,0.000702024
1.38E+04,6.06E+04,2.29E+02,2.60E+00,1.06E-02,8.28E+01,7.86E-05,4.08E-01,2.20E-01,2.43E-01,2.63E+02,1.65E+01,2.80E+02,0.000675101,0.000702017
1.38E+04,6.07E+04,5.44E+01,7.54E-01,1.05E-02,8.28E+01,7.85E-05,4.08E-01,2.22E-01,2.37E-01,2.62E+02,1.56E+01,2.78E+02,0.000673835,0.000700709
1.38E+04,60700,2.30E+02,2.60E+00,1.05E-02,8.28E+01,7.85E-05,4.08E-01,2.22E-01,2.37E-01,2.62E+02,1.56E+01,2.78E+02,0.000673829,0.000700702
1.39E+04,6.08E+04,5.51E+01,7.54E-01,1.06E-02,8.29E+01,7.83E-05,4.07E-01,2.21E-01,2.40E-01,2.62E+02,1.60E+01,2.78E+02,0.000672574,0.000699405
1.39E+04,6.08E+04,2.29E+02,2.60E+00,1.06E-02,8.29E+01,7.83E-05,4.07E-01,2.21E-01,2.40E-01,2.62E+02,1.60E+01,2.78E+02,0.000672574,0.000699405
1.39E+04,6.09E+04,5.50E+01,7.52E-01,1.05E-02,8.29E+01,7.82E-05,4.09E-01,2.22E-01,2.39E-01,2.63E+02,1.59E+01,2.79E+02,0.000671317,0.000698105
1.39E+04,60900,2.30E+02,2.60E+00,1.05E-02,8.29E+01,7.82E-05,4.09E-01,2.22E-01,2.39E-01,2.63E+02,1.59E+01,2.79E+02,0.000671311,0.000698099
1.39E+04,6.10E+04,5.50E+01,7.52E-01,1.06E-02,8.29E+01,7.81E-05,4.08E-01,2.22E-01,2.39E-01,2.63E+02,1.60E+01,2.79E+02,0.000670065,0.00069681
1.39E+04,61000,2.30E+02,2.60E+00,1.06E-02,8.29E+01,7.81E-05,4.08E-01,2.22E-01,2.39E-01,2.63E+02,1.60E+01,2.79E+02,0.000670059,0.000696804
1.39E+04,6.11E+04,5.49E+01,7.53E-01,1.06E-02,8.29E+01,7.80E-05,4.05E-01,2.20E-01,2.41E-01,2.61E+02,1.60E+01,2.77E+02,0.000668817,0.00069552
1.39E+04,6.11E+04,2.28E+02,2.60E+00,1.06E-02,8.29E+01,7.80E-05,4.05E-01,2.20E-01,2.41E-01,2.61E+02,1.60E+01,2.77E+02,0.000668817,0.00069552
1.40E+04,6.12E+04,5.42E+01,7.51E-01,1.06E-02,8.29E+01,7.78E-05,4.06E-01,2.21E-01,2.37E-01,2.61E+02,1.56E+01,2.77E+02,0.000667574,0.000694234
